"SourceFile","FileName","Directory","CreateDate","MediaCreateDate","ImageSize","ImageWidth","ImageHeight","PixelAspectRatio"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_video-1.mp4","Bear at the Birdfeeder-2025-06-19-21-46-19-photos_db_video-1.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:27:33-05:00","2025:11:28 22:27:33","1280x720","1280","720","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_video-10.mp4","Brendan Playing with Tater at the Sandbar-DJI_20250807180534_0565_D-photos_db_video-10.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 18:16:10-05:00","2025:11:28 23:16:20","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_video-6.mp4","Bricks Classic Car Show Flyover-DJI_20250607161031_0356_D-photos_db_video-6.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:29:23-05:00","2025:11:28 22:29:34","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_video-8.mp4","Drone Flyover of Buggy Ride June 15th, 2025-DJI_20250615113152_0079_D-photos_db_video-8.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:40:58-05:00","2025:11:28 22:41:08","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Frankfort Light in Winter-DJI_0317-photos_db_video-4.mp4","Frankfort Light in Winter-DJI_0317-photos_db_video-4.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:29:18-05:00","2025:11:28 22:29:19","1920x1080","1920","1080","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_video-14.mp4","Frankfort Lighthouse at Sunset-DJI_20250907202054_0562_D-photos_db_video-14.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 18:30:49-05:00","2025:11:28 23:30:58","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/More Drone Buggy Flyover June 15th, 2025-DJI_20250615113533_0080_D-photos_db_video-9.mp4","More Drone Buggy Flyover June 15th, 2025-DJI_20250615113533_0080_D-photos_db_video-9.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:56:56-05:00","2025:11:28 22:57:06","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Pancake Ice at the Mouth of the Betsie-DJI_20250221140336_0110_D-photos_db_video-2.mp4","Pancake Ice at the Mouth of the Betsie-DJI_20250221140336_0110_D-photos_db_video-2.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:27:36-05:00","2025:11:28 22:27:44","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Point Betsie Lighthouse in Winter-DJI_0356-photos_db_video-5.mp4","Point Betsie Lighthouse in Winter-DJI_0356-photos_db_video-5.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:34:00-05:00","2025:11:28 22:34:05","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Point Betsie on a Wavy Day-DJI_20250905092401_0387_D-photos_db_video-11.mp4","Point Betsie on a Wavy Day-DJI_20250905092401_0387_D-photos_db_video-11.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 18:17:57-05:00","2025:11:28 23:18:07","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Point Betsie Wavy Day-DJI_20250905145209_0417_D-photos_db_video-13.mp4","Point Betsie Wavy Day-DJI_20250905145209_0417_D-photos_db_video-13.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 18:28:51-05:00","2025:11:28 23:29:01","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Pontoon Boat Ride June 14th, 2025-DJI_20250614154400_0074_D-photos_db_video-7.mp4","Pontoon Boat Ride June 14th, 2025-DJI_20250614154400_0074_D-photos_db_video-7.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:38:15-05:00","2025:11:28 22:38:25","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Wavy Morning on the Elberta Side-DJI_20250905141742_0400_D-photos_db_video-12.mp4","Wavy Morning on the Elberta Side-DJI_20250905141742_0400_D-photos_db_video-12.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 18:19:54-05:00","2025:11:28 23:20:05","3840x2160","3840","2160","1.78"
"C:/Program Files/Ampps/Videos Full Resolution Logoless/Winter Sunset Timelapse in Manistee-dji_fly_20250307_183132_0052_1741396467214_hyperlapse-photos_db_video-3.mp4","Winter Sunset Timelapse in Manistee-dji_fly_20250307_183132_0052_1741396467214_hyperlapse-photos_db_video-3.mp4","C:/Program Files/Ampps/Videos Full Resolution Logoless","2025:11:28 17:29:03-05:00","2025:11:28 22:29:06","3840x2160","3840","2160","1.78"
